Очки,2-очк-3/В,2-очк-%,3-очк-3/В,3-очк-%,Штрафные-3/В,Штрафные-%,Подборы,Передачи,Фолы,Перехваты,Потери,Блокшоты,МИН,Очки прот.,2-очк-3/В прот.,2-очк-% прот.,3-очк-3/В прот.,3-очк-% прот.,Штрафные-3/В прот.,Штрафные-% прот.,Подборы прот.,Передачи прот.,Фолы прот.,Перехваты прот.,Потери прот.,Блокшоты прот.,Победа,Победа дома
67,16/39,41,8/20,40,11/14,79,27,14,19,5,13,1,200,82,27/45,60,6/15,40,10/15,67,32,22,20,7,8,7,0,0
89,19/37,51,13/32,41,12/17,71,31,24,20,14,13,2,194,63,24/49,49,1/18,6,12/13,92,41,25,16,6,20,3,1,1
95,33/63,52,4/15,27,17/23,74,42,20,24,5,12,2,218,91,25/50,50,8/22,36,17/24,71,38,20,26,9,13,3,1,1
95,20/35,57,10/23,43,25/27,93,29,18,20,5,10,4,166,84,32/59,54,2/17,12,14/15,93,31,14,25,4,11,2,1,1
99,32/48,67,6/19,32,17/20,85,40,19,18,9,13,7,196,70,24/57,42,5/23,22,7/9,78,33,12,21,6,15,1,1,1
92,22/44,50,10/21,48,18/20,90,28,20,20,7,8,3,196,85,27/47,57,5/18,28,16/19,84,34,20,20,2,14,2,1,1
81,15/37,41,9/19,47,24/32,75,32,19,25,4,10,1,196,78,19/41,46,7/25,28,19/28,68,35,13,28,5,10,2,1,1
114,30/48,63,10/20,50,24/26,92,36,23,20,9,4,3,195,51,11/32,34,4/22,18,17/22,77,28,11,22,2,20,3,0,1
77,17/38,45,10/24,42,13/16,81,36,20,21,6,11,3,195,75,23/50,46,6/25,24,11/21,52,36,26,19,4,10,4,1,1
82,19/46,41,6/18,33,26/31,84,29,16,21,6,14,3,194,108,29/44,66,13/30,43,11/15,73,45,28,26,6,12,4,1,0
89,28/52,54,6/18,33,15/21,71,35,20,18,9,11,3,193,73,16/37,43,11/23,48,8/11,73,27,14,22,7,18,2,1,1
82,26/48,54,6/19,32,12/18,67,44,15,21,5,10,3,197,71,23/45,51,6/26,23,7/13,54,32,17,18,7,9,2,1,1
75,19/45,42,7/26,27,16/19,84,33,16,28,11,13,1,195,76,18/35,51,6/19,32,22/35,63,38,19,20,7,17,4,0,0
86,25/38,66,8/20,40,12/13,92,24,25,24,9,8,0,195,67,22/40,55,3/20,15,14/19,74,34,11,20,3,15,1,1,1
85,19/39,49,9/23,39,20/29,69,39,21,17,10,9,1,195,80,20/45,44,11/24,46,7/9,78,31,16,24,7,14,2,1,1
81,20/50,40,9/19,47,14/16,88,38,14,22,7,4,4,195,73,18/40,45,8/16,50,13/21,62,32,16,18,0,12,0,1,1
77,14/32,44,10/22,45,19/32,59,36,17,22,3,10,9,200,71,15/34,44,9/22,41,14/23,61,26,16,31,5,8,2,1,1
99,28/44,64,10/20,50,13/21,62,35,32,19,9,7,0,195,79,22/40,55,8/19,42,11/18,61,18,18,21,5,12,1,1,1
82,26/56,46,4/9,44,18/25,72,38,18,21,5,14,3,200,83,17/33,52,12/27,44,13/18,72,26,16,24,5,15,4,0,0
81,24/43,56,4/18,22,21/25,84,47,17,22,5,14,1,195,70,22/46,48,4/18,22,14/24,58,27,21,20,6,9,7,1,1
102,29/47,62,9/25,36,17/22,77,40,19,23,6,10,2,194,79,18/35,51,10/23,43,13/22,59,27,11,24,5,18,1,0,1
96,28/52,54,7/15,47,19/22,86,30,25,24,10,5,2,195,86,26/42,62,8/25,32,10/17,59,33,16,22,4,17,1,1,1
96,20/41,49,8/17,47,32/36,89,31,23,20,10,19,4,196,87,29/53,55,4/19,21,17/17,100,33,23,27,9,20,5,1,1
73,14/31,45,10/28,36,15/21,71,33,16,19,6,12,4,196,66,22/49,45,2/9,22,16/18,89,31,12,24,4,14,1,1,1
73,21/41,51,7/18,39,10/15,67,31,14,20,3,11,1,200,78,18/39,46,8/26,31,18/22,82,36,13,23,5,10,2,0,0
92,21/41,51,11/25,44,17/24,71,38,22,19,6,16,1,200,79,22/40,55,8/26,31,11/12,92,28,13,24,8,12,1,1,1
94,24/44,55,10/21,48,16/20,80,41,23,22,9,15,4,200,76,16/40,40,9/26,35,17/21,81,32,18,20,4,14,4,1,1
70,12/33,36,10/22,45,16/20,80,33,16,20,13,13,3,195,71,14/31,45,10/20,50,13/18,72,25,11,22,8,20,4,0,0
78,24/49,49,8/21,38,6/7,86,39,17,17,9,11,5,200,60,16/36,44,5/29,17,13/13,100,38,14,18,7,14,4,1,1
75,13/32,41,11/30,37,16/26,62,40,14,30,6,13,1,195,71,19/47,40,3/12,25,24/28,86,33,11,26,7,9,1,1,1
91,28/56,50,5/18,28,20/23,87,37,18,24,9,11,4,225,85,14/44,32,12/25,48,21/25,84,37,12,25,4,19,3,1,1
74,18/41,44,11/25,44,5/6,83,18,19,20,6,8,3,200,95,28/41,68,7/15,47,18/21,86,32,28,18,6,13,3,0,0
100,28/46,61,10/22,45,14/18,78,31,23,27,10,13,1,200,81,19/33,58,7/20,35,22/30,73,22,12,24,8,19,2,0,1
81,17/31,55,10/25,40,17/22,77,20,22,18,8,13,3,200,76,31/55,56,0/13,0,14/19,74,37,16,24,7,16,2,1,1
95,25/45,56,7/16,44,24/29,83,33,20,22,5,10,4,196,88,23/44,52,8/17,47,18/19,95,26,17,27,5,9,1,1,1
62,14/39,36,8/15,53,10/11,91,31,11,18,6,17,1,195,81,20/30,67,12/28,43,5/7,71,24,22,16,10,9,1,0,0
81,19/40,48,8/22,36,19/23,83,37,20,16,11,10,7,200,54,10/35,29,8/20,40,10/13,77,29,14,22,5,18,3,1,1
67,17/40,43,7/24,29,12/18,67,27,20,29,14,13,4,196,70,13/36,36,7/27,26,23/34,68,47,14,18,8,21,5,0,0
79,24/48,50,6/18,33,13/17,76,31,21,26,6,14,1,200,83,19/37,51,9/21,43,18/24,75,34,17,21,5,17,3,0,0
83,24/37,65,6/23,26,17/24,71,37,22,22,4,17,4,195,98,21/35,60,11/24,46,23/27,85,28,25,27,10,10,2,0,0
63,17/39,44,6/17,35,11/16,69,36,21,20,1,12,4,196,65,21/46,46,2/17,12,17/20,85,35,10,21,4,10,1,0,0
85,24/45,53,7/16,44,16/19,84,29,20,24,6,11,3,195,93,22/35,63,11/21,52,16/26,62,27,25,18,4,14,1,0,0
92,25/44,57,7/21,33,21/25,84,37,23,12,14,12,5,200,51,14/33,42,6/24,25,5/6,83,27,17,24,9,22,3,1,1
67,21/43,49,3/19,16,16/16,100,29,12,19,4,12,1,196,87,19/37,51,12/24,50,13/15,87,33,19,22,5,11,2,0,0
58,19/42,45,4/13,31,8/12,67,33,11,19,3,22,1,195,97,28/49,57,10/21,48,11/14,79,24,28,17,13,8,4,0,0
78,18/33,55,8/22,36,18/25,72,27,16,26,4,11,5,197,89,21/39,54,8/22,36,23/30,77,31,14,24,5,10,5,0,0
86,27/46,59,7/19,37,11/13,85,32,19,23,10,13,0,194,85,25/49,51,6/17,35,17/29,59,32,22,18,4,11,6,1,1
59,15/45,33,6/17,35,11/16,69,42,11,19,5,8,3,200,52,15/38,39,4/16,25,10/14,71,29,11,19,6,8,3,1,1
88,24/38,63,7/26,27,19/24,79,29,17,25,6,17,2,195,94,27/41,66,8/21,38,16/19,84,24,17,29,6,16,5,0,0
94,21/43,49,10/22,45,22/28,79,33,31,21,10,13,5,200,73,21/43,49,8/15,53,7/10,70,26,17,20,5,17,4,1,1
79,24/51,47,3/14,21,22/26,85,39,17,16,11,11,2,200,69,21/48,44,7/18,39,6/12,50,35,22,23,7,14,1,1,1
71,19/42,45,6/19,32,15/18,83,41,19,15,8,16,2,194,60,19/44,43,6/22,27,4/6,67,33,12,23,7,12,5,1,1
71,17/40,43,11/21,52,4/7,57,34,23,21,3,19,2,196,74,21/36,58,6/21,29,14/17,82,26,16,15,10,12,13,0,0
72,23/31,74,5/24,21,11/12,92,24,24,22,6,17,2,194,87,19/33,58,10/29,34,19/23,83,29,25,16,10,13,1,0,0
69,20/46,43,6/25,24,11/16,69,31,19,19,7,9,3,196,82,22/42,52,7/18,39,17/19,89,38,20,19,4,12,8,0,0
91,30/54,56,6/12,50,13/17,76,31,19,27,10,10,5,195,59,17/48,35,3/19,16,16/24,67,42,10,18,3,15,3,1,1
89,26/48,54,9/25,36,10/12,83,27,22,17,18,6,6,200,63,16/31,52,8/23,35,7/10,70,36,14,20,4,26,3,1,1
79,22/33,67,8/19,42,11/13,85,28,16,20,5,16,2,195,65,15/37,41,9/29,31,8/12,67,30,12,17,9,11,2,1,1
66,19/42,45,5/22,23,13/20,65,29,9,21,4,19,6,195,111,35/46,76,10/29,34,11/13,85,38,24,21,8,9,1,1,0
64,11/39,28,11/23,48,9/14,64,39,14,18,10,14,7,200,52,15/42,36,4/24,17,10/14,71,43,16,24,9,16,8,1,1
93,20/36,56,9/23,39,26/33,79,37,22,21,7,16,4,200,83,23/53,43,7/19,37,16/24,67,35,22,29,8,12,0,1,1
90,24/52,46,10/27,37,12/20,60,38,23,25,11,7,1,194,85,18/37,49,9/23,39,22/30,73,41,15,21,4,16,4,1,1
72,16/34,47,9/26,35,13/17,76,27,16,20,5,7,4,200,70,20/41,49,6/21,29,12/15,80,38,16,21,5,13,0,1,1
92,19/37,51,9/20,45,27/40,68,26,26,23,10,12,1,225,88,19/32,59,12/32,38,14/18,78,38,14,32,8,20,1,1,1
95,28/41,68,5/16,31,24/32,75,33,16,20,6,21,2,194,102,21/44,48,15/32,47,15/19,79,23,21,28,12,12,0,1,0
77,22/44,50,6/20,30,15/25,60,42,15,17,11,18,3,200,70,21/50,42,5/14,36,13/14,93,31,10,21,12,15,1,1,1
72,20/39,51,5/19,26,17/18,94,35,20,23,3,19,1,200,80,22/45,49,7/17,41,15/21,71,26,23,19,11,8,2,0,0
57,17/42,40,6/18,33,5/8,63,33,19,18,7,21,1,200,81,17/30,57,12/23,52,11/12,92,21,21,13,13,18,3,0,0
79,24/44,55,5/18,28,16/26,62,39,26,22,6,12,4,197,65,23/50,46,1/10,10,16/22,73,31,8,23,5,12,1,1,1
86,23/40,58,9/19,47,13/17,76,41,23,23,5,22,2,195,78,21/52,40,6/16,38,18/30,60,25,13,18,15,8,3,1,1
81,16/41,39,8/19,42,25/32,78,26,20,25,8,10,2,200,83,18/36,50,9/22,41,20/27,74,36,16,29,1,17,0,0,0
92,23/45,51,9/17,53,19/22,86,36,18,21,5,16,3,200,88,21/46,46,10/24,42,16/20,80,28,16,21,10,6,2,1,1
78,20/50,40,10/28,36,8/12,67,35,18,18,14,8,3,200,75,21/38,55,6/20,30,15/16,94,39,16,18,5,16,3,1,1
96,22/41,54,13/27,48,13/15,87,39,24,18,7,11,9,200,60,13/45,29,10/27,37,4/8,50,35,11,21,5,17,0,1,1
63,15/37,41,4/21,19,21/30,70,28,15,21,6,15,0,200,76,29/49,59,2/10,20,12/18,67,39,17,25,9,16,1,0,0
70,17/37,46,7/24,29,15/17,88,31,20,19,6,9,9,200,65,21/47,45,3/18,17,14/17,82,40,10,21,7,12,1,1,1
75,18/37,49,9/24,38,12/18,67,35,16,18,10,14,5,200,51,17/37,46,3/21,14,8/14,57,32,11,22,6,17,2,1,1
88,23/44,52,9/19,47,15/21,71,24,19,19,6,13,0,200,93,27/32,84,8/29,28,15/15,100,32,21,21,6,16,2,0,0
82,18/38,47,12/36,33,10/12,83,31,27,16,4,7,3,194,83,22/46,48,10/24,42,9/12,75,42,20,11,5,11,2,0,0
107,35/49,71,8/14,57,13/18,72,31,26,17,8,13,4,193,74,17/38,45,10/29,34,10/13,77,28,15,20,7,17,0,0,1
74,25/58,43,4/12,33,12/13,92,22,20,24,9,7,1,200,89,18/29,62,9/20,45,26/29,90,37,20,18,2,15,7,0,0
73,24/38,63,5/16,31,10/16,63,26,18,24,6,10,0,200,86,12/26,46,15/29,52,17/25,68,33,18,20,6,10,2,0,0
65,20/40,50,4/14,29,13/23,57,32,11,12,4,15,5,193,92,19/42,45,17/27,63,3/5,60,26,25,22,6,7,2,0,0
59,19/52,37,2/19,11,15/22,68,41,14,24,5,18,2,200,82,18/45,40,10/20,50,16/22,73,41,23,23,14,17,5,0,0
88,22/43,51,8/26,31,20/27,74,38,15,21,11,13,0,195,85,18/44,41,10/27,37,19/23,83,41,18,26,8,15,1,1,1
82,22/57,39,9/26,35,11/15,73,41,21,19,11,11,6,225,77,24/53,45,5/21,24,14/18,78,44,15,19,4,20,11,1,1
84,23/41,56,7/19,37,17/25,68,28,19,19,8,13,1,200,85,28/42,67,7/18,39,8/10,80,26,19,23,7,16,2,0,0
81,17/33,52,10/23,43,17/21,81,32,24,22,8,12,3,200,77,17/43,40,8/17,47,19/20,95,29,12,23,6,11,1,1,1
59,14/40,35,3/24,13,22/25,88,37,9,26,10,14,2,200,84,16/30,53,10/20,50,22/27,81,31,15,21,2,17,6,0,0
105,26/52,50,11/21,52,20/24,83,36,20,23,9,13,2,200,99,24/42,57,11/32,34,18/23,78,34,15,25,7,15,3,0,1
89,27/50,54,5/15,33,20/26,77,32,18,28,6,14,2,200,85,17/30,57,10/21,48,21/34,62,24,16,22,9,14,2,1,1
80,25/34,74,7/26,27,9/10,90,29,19,20,8,16,2,200,56,17/33,52,4/15,27,10/12,83,23,14,20,11,20,2,1,1
93,20/41,49,12/23,52,17/23,74,28,25,18,14,14,5,200,72,22/42,52,5/17,29,13/16,81,30,16,21,6,21,0,1,1
80,23/44,52,6/17,35,16/23,70,31,17,20,12,13,0,200,60,20/39,51,4/24,17,8/15,53,34,10,23,8,17,5,1,1
69,23/41,56,5/21,24,8/10,80,26,23,20,11,15,2,200,78,12/24,50,13/24,54,15/22,68,29,21,19,10,20,3,0,0
79,14/47,30,10/33,30,21/26,81,36,14,21,10,10,4,199,89,20/30,67,12/26,46,13/18,72,40,21,29,7,18,9,0,0
63,16/43,37,5/17,29,16/27,59,23,16,20,7,13,1,200,88,27/46,59,9/20,45,7/11,64,45,21,24,6,17,4,0,0
77,19/49,39,11/36,31,6/10,60,41,19,23,6,14,1,195,91,24/38,63,6/21,29,25/29,86,34,21,14,9,12,5,0,0
82,27/45,60,4/18,22,16/22,73,37,18,19,14,15,8,200,61,20/47,43,4/17,24,9/13,69,32,14,18,6,18,1,1,1
94,25/40,63,8/24,33,20/26,77,36,31,16,7,9,6,200,82,20/50,40,9/16,56,15/17,88,32,19,23,6,13,0,1,1
83,28/52,54,7/27,26,6/8,75,32,20,27,4,10,2,200,89,23/36,64,7/23,30,22/26,85,36,17,14,4,15,1,0,0
61,17/34,50,5/26,19,12/13,92,31,14,21,12,18,0,200,75,21/37,57,7/23,30,12/21,57,41,16,19,10,18,1,0,0
102,24/32,75,13/27,48,15/21,71,27,29,23,10,15,3,200,81,21/42,50,9/21,43,12/17,71,21,15,25,10,14,1,0,1
93,25/44,57,11/19,58,10/14,71,32,29,20,3,14,5,200,83,22/44,50,8/19,42,15/18,83,23,18,19,10,13,1,1,1
85,27/42,64,8/15,53,7/9,78,26,28,16,6,14,2,200,76,24/35,69,6/17,35,10/18,56,19,22,17,9,14,2,1,1
77,18/30,60,7/20,35,20/24,83,28,19,19,8,19,6,200,72,21/41,51,9/32,28,3/10,30,27,11,27,6,17,0,1,1
65,10/37,27,11/22,50,12/13,92,25,12,23,8,17,1,200,82,28/42,67,4/13,31,14/18,78,32,12,19,7,13,5,0,0
69,22/36,61,5/23,22,10/13,77,24,21,19,8,11,0,200,84,24/38,63,8/24,33,12/17,71,34,15,18,7,11,7,0,0
79,15/34,44,9/31,29,22/31,71,32,22,23,7,8,2,200,91,27/42,64,6/23,26,19/25,76,38,12,25,5,12,3,0,0
89,20/34,59,10/21,48,19/24,79,27,30,21,4,10,5,196,80,26/55,47,6/18,33,10/11,91,32,19,23,4,8,3,1,1
76,27/48,56,4/17,24,10/13,77,30,21,21,10,14,1,200,92,21/41,51,11/20,55,17/22,77,31,21,20,6,12,2,0,0
81,20/43,47,10/28,36,11/20,55,33,21,24,7,14,1,195,88,30/47,64,3/15,20,19/26,73,39,28,21,6,15,1,0,0
87,20/37,54,11/29,38,14/22,64,51,22,17,7,15,4,200,69,16/35,46,8/28,29,13/19,68,25,20,22,9,11,4,1,1
98,21/39,54,13/27,48,17/23,74,36,28,16,7,10,2,200,77,17/32,53,12/28,43,7/8,88,24,16,21,5,14,2,1,1
63,22/52,42,4/12,33,7/9,78,27,22,19,5,15,2,200,78,27/43,63,4/20,20,12/16,75,36,22,18,6,13,3,0,0
74,18/45,40,8/19,42,14/18,78,23,16,20,8,10,2,200,96,23/42,55,12/20,60,14/19,74,33,17,19,8,10,3,0,0
83,19/40,48,9/18,50,18/23,78,31,14,22,6,18,3,192,99,31/46,67,8/21,38,13/19,68,24,21,19,14,11,6,0,0
86,27/43,63,2/10,20,26/33,79,28,25,16,3,14,1,200,95,28/39,72,12/33,36,3/5,60,24,31,27,8,6,2,0,0
89,27/54,50,7/20,35,14/19,74,36,25,24,3,12,10,194,85,27/51,53,5/25,20,16/24,67,42,22,20,4,12,3,1,1
73,15/30,50,6/25,24,25/33,76,45,18,20,8,15,3,196,66,18/45,40,6/19,32,12/20,60,29,8,22,7,9,0,1,1
70,22/44,50,5/15,33,11/20,55,28,16,22,6,15,6,194,94,24/43,56,11/22,50,13/20,65,29,22,23,9,8,6,0,0
100,31/121,26,8/25,32,14/17,82,31,21,21,13,15,1,196,85,20/40,50,9/18,50,18/22,82,22,18,19,4,19,0,0,1
84,26/56,46,6/18,33,14/16,88,31,13,22,10,12,4,196,90,22/41,54,10/21,48,16/20,80,41,25,22,8,18,2,0,0
73,19/42,45,9/22,41,8/12,67,42,17,18,2,5,5,195,75,22/50,44,7/24,29,10/13,77,35,13,22,2,3,4,0,0
79,21/44,48,6/23,26,19/20,95,32,9,22,7,8,0,195,93,26/43,60,8/18,44,17/25,68,37,18,20,3,13,4,0,0
104,28/46,61,11/32,34,15/22,68,31,23,33,12,17,2,222,108,33/53,62,5/11,45,27/36,75,36,25,24,8,19,1,0,0
74,15/30,50,10/26,38,14/18,78,24,13,23,9,10,3,200,66,17/37,46,4/20,20,20/26,77,38,11,20,6,16,2,1,1
101,20/44,45,15/32,47,16/20,80,43,24,13,6,13,0,197,76,22/60,37,6/21,29,14/15,93,26,17,19,4,12,6,0,1
82,22/32,69,7/21,33,17/21,81,33,22,19,8,20,0,193,84,31/55,56,4/18,22,10/13,77,26,17,23,11,9,0,0,0
84,20/37,54,9/17,53,17/22,77,29,23,19,8,11,4,195,69,18/41,44,7/21,33,12/16,75,34,21,24,6,17,2,1,1
76,22/42,52,9/24,38,5/8,63,37,22,24,6,24,3,220,82,25/47,53,5/19,26,17/18,94,31,22,16,16,13,6,0,0
110,25/51,49,15/27,56,15/18,83,36,21,23,8,3,2,195,76,20/39,51,7/24,29,15/19,79,32,12,21,2,12,1,0,1
76,15/42,36,11/28,39,13/17,76,38,19,24,5,9,4,200,78,21/43,49,4/16,25,24/28,86,35,14,20,7,13,5,0,0
108,30/47,64,11/20,55,15/22,68,39,31,21,5,10,1,196,71,20/44,45,6/23,26,13/20,65,30,19,21,8,10,1,0,1
74,19/43,44,6/21,29,18/23,78,34,17,22,6,6,4,209,72,23/44,52,5/14,36,11/18,61,33,15,24,2,10,3,1,1
107,22/31,71,13/30,43,24/32,75,27,28,30,9,11,4,200,104,22/37,59,10/25,40,30/37,81,28,19,27,6,12,2,1,1
84,20/33,61,10/29,34,14/18,78,28,24,19,10,5,2,200,72,19/41,46,7/16,44,13/14,93,28,11,25,3,13,1,1,1
88,19/38,50,9/24,38,23/28,82,36,20,16,2,14,7,200,93,30/54,56,7/19,37,12/13,92,32,19,26,7,8,3,0,0
80,25/38,66,5/18,28,15/18,83,25,14,17,7,11,2,200,84,28/41,68,4/14,29,16/16,100,27,18,20,8,13,4,0,0
86,21/40,53,10/29,34,14/23,61,48,26,19,8,9,6,195,61,16/39,41,5/26,19,14/18,78,32,15,24,3,14,1,1,1
65,17/46,37,6/18,33,13/16,81,50,16,22,2,19,8,221,75,23/53,43,4/22,18,17/22,77,32,6,23,12,6,3,0,0
80,23/38,61,7/20,35,13/17,76,28,20,19,7,18,2,200,90,21/42,50,12/23,52,12/15,80,30,23,21,12,13,5,0,0
83,21/45,47,11/35,31,8/10,80,33,20,23,9,13,6,200,87,26/50,52,7/18,39,14/19,74,38,16,18,7,18,2,0,0
68,19/38,50,4/14,29,18/23,78,31,10,17,6,17,2,200,85,25/49,51,8/17,47,11/13,85,30,22,24,6,12,4,0,0
75,23/41,56,6/20,30,11/15,73,35,22,18,4,15,2,200,83,23/44,52,8/20,40,13/17,76,28,22,21,9,6,1,0,0
94,30/65,46,6/19,32,16/17,94,43,22,21,10,8,4,200,86,16/40,40,11/29,38,21/26,81,38,17,17,6,12,2,1,1
75,16/30,53,12/31,39,7/10,70,34,19,27,6,17,2,195,82,22/42,52,6/17,35,20/28,71,31,19,15,13,10,2,0,0
60,16/39,41,7/21,33,7/11,64,31,18,26,7,18,5,200,78,19/37,51,6/23,26,22/28,79,37,19,19,7,10,5,0,0
86,23/42,55,8/25,32,16/18,89,34,24,20,6,17,5,220,94,29/53,55,7/19,37,15/15,100,32,27,18,13,9,0,0,0
50,15/37,41,4/20,20,8/9,89,36,10,24,2,11,5,200,60,16/44,36,5/20,25,13/19,68,38,9,17,5,7,3,0,0
79,20/43,47,9/26,35,12/18,67,29,13,23,6,10,1,200,113,26/35,74,13/27,48,22/25,88,34,21,21,7,8,2,1,0
77,16/37,43,7/22,32,24/32,75,32,7,18,10,10,4,195,68,19/44,43,8/22,36,6/8,75,36,17,26,5,13,6,1,1
85,23/52,44,10/19,53,9/10,90,40,21,27,4,10,1,200,78,22/39,56,4/20,20,22/31,71,30,12,19,6,5,7,1,1
87,29/47,62,7/21,33,8/9,89,28,27,23,8,14,2,200,89,22/36,61,8/16,50,21/26,81,26,18,19,8,18,2,0,0
93,26/41,63,8/15,53,17/21,81,24,23,25,9,15,0,195,72,21/38,55,6/25,24,12/18,67,28,15,21,4,14,0,1,1
41,12/38,32,2/18,11,11/15,73,26,11,20,3,15,1,195,85,18/36,50,11/23,48,16/18,89,38,18,17,10,10,4,0,0
80,24/42,57,8/33,24,8/14,57,31,25,24,4,7,2,196,84,22/43,51,6/12,50,22/22,100,35,16,23,5,11,2,0,0
70,25/50,50,3/18,17,11/16,69,32,19,20,5,7,5,196,74,22/38,58,7/19,37,9/13,69,38,20,15,5,15,2,0,0
84,19/33,58,11/26,42,13/17,76,35,20,25,6,12,2,200,70,13/32,41,10/23,43,14/22,64,23,15,18,4,12,0,1,1
80,18/29,62,11/23,48,11/16,69,25,13,18,5,12,3,200,94,26/42,62,11/24,46,9/14,64,33,22,14,7,9,0,0,0
83,25/53,47,9/26,35,6/10,60,50,22,17,13,15,3,200,52,17/42,40,4/14,29,6/7,86,25,9,13,11,21,3,1,1
65,18/48,38,6/26,23,11/15,73,32,12,24,5,14,4,200,84,26/49,53,4/17,24,20/23,87,39,15,21,7,12,5,0,0
83,22/38,58,10/19,53,9/15,60,33,21,15,10,16,2,200,56,18/35,51,5/22,23,5/9,56,26,15,19,11,18,1,1,1
84,26/41,63,5/14,36,17/22,77,25,19,20,6,18,2,196,87,24/46,52,8/19,42,15/17,88,29,25,23,10,14,3,0,0
88,23/45,51,7/20,35,21/25,84,33,16,16,9,8,2,194,82,21/43,49,11/22,50,7/11,64,32,19,24,3,14,0,1,1
82,23/38,61,6/20,30,18/24,75,36,14,18,3,14,0,195,76,18/43,42,8/23,35,16/18,89,29,12,26,8,9,2,1,1
107,27/43,63,13/21,62,14/23,61,30,34,16,15,10,1,200,78,18/35,51,10/25,40,12/14,86,27,16,24,8,19,3,0,1
83,25/39,64,3/20,15,24/29,83,40,20,18,4,16,4,200,94,28/56,50,10/19,53,8/11,73,28,19,25,12,8,1,0,0
84,18/32,56,8/19,42,24/36,67,25,14,19,1,13,1,200,91,27/44,61,7/22,32,16/21,76,30,21,30,8,9,1,0,0
95,26/39,67,10/20,50,13/15,87,23,28,21,7,18,3,200,88,27/45,60,6/19,32,16/19,84,21,26,17,8,13,2,1,1
99,25/44,57,13/28,46,10/14,71,28,22,26,8,15,0,200,119,24/41,59,16/31,52,23/27,85,32,29,18,9,10,4,1,0
98,19/43,44,14/23,61,18/22,82,32,21,23,5,16,3,200,81,20/33,61,9/24,38,14/23,61,24,18,24,11,16,1,1,1
72,22/54,41,3/16,19,19/21,90,30,18,22,6,10,0,200,79,23/40,58,7/20,35,12/16,75,34,22,21,4,11,7,0,0
65,17/39,44,3/19,16,22/31,71,41,11,22,8,16,1,200,63,18/40,45,2/21,10,21/24,88,32,16,25,8,13,4,1,1
46,13/35,37,4/22,18,8/19,42,34,13,17,8,20,0,200,87,23/46,50,10/22,45,11/13,85,42,13,17,15,12,1,0,0
76,20/31,65,8/20,40,12/15,80,25,18,23,13,14,2,196,62,19/44,43,5/17,29,9/12,75,30,18,19,10,15,1,1,1
85,25/51,49,8/31,26,11/15,73,45,22,16,7,10,6,221,79,22/59,37,9/22,41,8/10,80,44,19,17,7,13,4,1,1
88,26/43,60,7/24,29,15/23,65,28,21,23,10,10,2,200,101,30/53,57,9/18,50,14/19,74,40,26,19,8,13,2,1,0
87,17/36,47,10/19,53,23/27,85,31,23,22,6,9,2,200,67,18/41,44,6/19,32,13/17,76,24,20,24,5,10,3,1,1
84,21/34,62,6/22,27,24/32,75,27,20,18,9,13,3,193,89,24/44,55,10/21,48,11/20,55,31,21,26,6,13,0,0,0
95,28/48,58,9/18,50,12/16,75,39,28,21,12,22,9,195,54,11/35,31,5/21,24,17/22,77,27,9,16,7,19,1,1,1
75,25/50,50,6/12,50,7/7,100,29,20,14,4,17,3,194,80,24/50,48,6/21,29,14/16,88,36,22,15,9,12,1,0,0
73,28/59,47,3/10,30,8/12,67,35,21,17,5,10,3,197,92,22/37,59,13/27,48,9/12,75,31,25,18,6,9,2,0,0
102,30/40,75,8/15,53,18/27,67,33,27,21,6,16,2,194,86,19/47,40,8/18,44,24/29,83,20,17,29,6,11,0,0,1
89,24/41,59,9/21,43,14/18,78,38,21,27,7,22,3,200,84,25/45,56,4/21,19,22/27,81,25,8,19,11,14,6,1,1
105,25/38,66,14/22,64,13/18,72,33,26,23,5,11,3,195,79,21/44,48,6/18,33,19/25,76,23,18,20,8,13,1,0,1
101,24/41,59,14/36,39,11/19,58,38,19,18,5,12,3,195,97,21/46,46,13/27,48,16/22,73,35,17,19,10,9,1,0,1
93,26/42,62,8/31,26,17/23,74,43,18,21,6,15,3,221,82,21/41,51,8/18,44,16/24,67,25,14,23,8,16,2,1,1
84,21/33,64,7/27,26,21/32,66,23,24,25,7,11,2,196,88,21/36,58,9/20,45,19/25,76,35,19,28,2,13,1,0,0
77,20/45,44,9/25,36,10/15,67,38,23,19,8,13,2,194,84,25/43,58,6/19,32,16/18,89,29,21,17,4,11,4,0,0
89,25/55,45,6/15,40,21/26,81,29,19,24,13,11,5,219,87,24/46,52,7/15,47,18/24,75,31,23,20,6,19,4,1,1
79,23/36,64,8/31,26,9/12,75,24,23,24,10,15,2,200,93,33/49,67,5/19,26,12/18,67,35,26,17,9,13,1,0,0
82,19/44,43,10/22,45,14/18,78,31,18,23,8,10,7,200,80,22/51,43,8/13,62,12/23,52,39,17,19,7,13,1,1,1
103,32/47,68,10/31,32,9/13,69,38,30,13,14,12,4,200,83,18/40,45,13/24,54,8/10,80,23,24,10,7,19,1,0,1
85,22/39,56,8/22,36,17/20,85,22,20,18,10,9,0,195,81,26/38,68,5/15,33,14/16,88,31,19,20,7,19,2,1,1
86,21/41,51,6/19,32,26/34,76,35,14,24,6,9,11,197,64,18/52,35,3/16,19,19/23,83,33,10,27,4,12,3,1,1
