Очки,2-очк-3/В,2-очк-%,3-очк-3/В,3-очк-%,Штрафные-3/В,Штрафные-%,Подборы,Передачи,Фолы,Перехваты,Потери,Блокшоты,МИН,Очки прот.,2-очк-3/В прот.,2-очк-% прот.,3-очк-3/В прот.,3-очк-% прот.,Штрафные-3/В прот.,Штрафные-% прот.,Подборы прот.,Передачи прот.,Фолы прот.,Перехваты прот.,Потери прот.,Блокшоты прот.,Победа,Победа дома
92,19/32,59,8/26,31,30/36,83,33,27,27,4,13,0,200,84,11/23,48,14/39,36,20/26,77,27,17,25,7,9,4,1,1
79,14/31,45,8/23,35,27/34,79,26,13,26,6,12,1,200,90,19/26,73,10/24,42,22/29,76,29,22,27,5,15,5,0,0
74,23/41,56,3/20,15,19/22,86,29,16,23,5,9,0,200,88,24/42,57,10/21,48,10/16,63,33,21,22,3,9,3,0,0
82,27/39,69,4/24,17,16/23,70,30,21,15,9,10,0,200,87,23/36,64,10/32,31,11/13,85,32,22,21,8,13,1,0,0
95,16/26,62,11/24,46,30/42,71,27,23,20,9,10,2,200,62,14/26,54,9/26,35,7/12,58,21,9,31,7,17,0,1,1
89,17/38,45,10/19,53,25/29,86,23,20,26,5,8,0,200,91,27/40,68,6/17,35,19/20,95,23,21,25,1,12,6,0,0
87,20/39,51,10/27,37,17/22,77,29,16,25,7,9,4,200,83,22/47,47,5/15,33,24/31,77,39,13,24,5,14,5,1,1
67,17/39,44,8/21,38,9/15,60,31,19,15,11,8,5,200,53,16/41,39,5/21,24,6/8,75,35,14,16,2,15,0,1,1
88,22/44,50,9/25,36,17/26,65,26,18,22,4,5,5,200,91,25/52,48,7/17,41,20/23,87,44,16,21,2,14,2,0,0
92,24/47,51,11/31,35,11/12,92,38,20,26,15,18,3,250,86,24/50,48,6/28,21,20/27,74,45,20,16,8,19,3,1,1
94,28/47,60,10/24,42,8/14,57,29,19,22,8,9,3,200,99,25/42,60,9/20,45,22/23,96,25,19,18,5,12,1,0,0
93,24/40,60,8/22,36,21/25,84,35,21,22,8,10,2,200,78,14/26,54,12/29,41,14/18,78,23,18,21,3,13,4,1,1
69,18/39,46,7/24,29,12/18,67,35,15,28,3,14,3,200,81,24/42,57,6/14,43,15/23,65,26,16,18,8,6,6,0,0
97,23/43,53,8/17,47,27/32,84,28,23,20,12,10,4,200,80,18/31,58,10/29,34,14/17,82,30,20,26,5,16,1,1,1
49,11/35,31,4/29,14,15/23,65,39,7,25,6,16,2,200,75,23/43,53,4/20,20,17/23,74,38,16,25,4,12,4,0,0
82,16/32,50,10/28,36,20/32,63,31,18,21,8,11,3,200,70,22/38,58,5/16,31,11/12,92,27,13,26,6,18,3,1,1
84,21/46,46,9/20,45,15/19,79,35,19,14,7,12,2,200,70,14/31,45,10/25,40,12/14,86,24,15,20,5,14,3,1,1
88,24/37,65,8/28,29,16/31,52,35,18,21,8,9,5,200,75,17/39,44,8/23,35,17/24,71,36,16,24,7,15,1,1,1
68,22/43,51,3/20,15,15/25,60,43,16,25,4,9,1,200,75,16/42,38,8/24,33,19/26,73,34,16,27,3,5,5,0,0
90,29/48,60,5/17,29,17/23,74,29,21,22,7,7,0,200,93,24/44,55,9/19,47,18/21,86,29,23,20,2,11,0,0,0
92,22/42,52,6/18,33,30/35,86,28,23,30,7,10,3,200,89,25/42,60,7/18,39,18/28,64,31,24,27,7,12,4,1,1
87,17/35,49,14/21,67,11/15,73,26,21,13,10,11,6,200,62,14/34,41,10/26,38,4/5,80,25,10,22,5,17,3,1,1
90,17/39,44,12/23,52,20/24,83,31,20,19,8,7,2,200,71,22/35,63,5/25,20,12/18,67,31,13,24,3,11,5,1,1
